voted_for,gender,education,age
Trump,Male,Some college,56
Biden,Male,2-year,66
Trump,Female,4-year,62
Biden,Female,4-year,36
Trump,Female,4-year,49
Biden,Male,Post-grad,41
Biden,Female,Some college,68
Trump,Female,Some college,65
Biden,Female,4-year,64
Trump,Female,High school graduate,45
Biden,Female,High school graduate,76
Biden,Female,Some college,71
Biden,Female,Post-grad,31
Trump,Female,Some college,77
Trump,Female,Post-grad,62
Trump,Female,Some college,43
Trump,Male,2-year,61
Trump,Female,Post-grad,62
Trump,Male,4-year,45
Biden,Male,High school graduate,62
Trump,Male,High school graduate,54
Biden,Male,4-year,34
Biden,Male,Post-grad,83
Biden,Male,High school graduate,62
Trump,Female,Post-grad,63
Biden,Male,Some college,34
Biden,Male,Some college,53
Biden,Male,4-year,37
Biden,Male,2-year,55
Biden,Female,2-year,77
Trump,Male,High school graduate,73
Biden,Female,4-year,25
Biden,Female,4-year,66
Biden,Female,High school graduate,71
Trump,Female,2-year,27
Biden,Male,High school graduate,46
Biden,Female,4-year,44
Trump,Female,High school graduate,60
Trump,Female,2-year,84
Biden,Male,Post-grad,83
Trump,Female,High school graduate,66
Biden,Female,Post-grad,80
Biden,Male,High school graduate,74
Biden,Female,No HS,62
Biden,Male,Post-grad,84
Biden,Male,Post-grad,78
Biden,Male,Some college,23
Trump,Female,High school graduate,71
Trump,Male,Post-grad,47
Trump,Male,High school graduate,71
Biden,Female,Post-grad,65
Biden,Female,Post-grad,75
Biden,Female,Post-grad,54
Biden,Female,Some college,86
Trump,Female,Some college,36
Biden,Female,Some college,74
Biden,Male,Post-grad,73
Biden,Female,Post-grad,82
Biden,Female,Post-grad,70
Trump,Female,4-year,40
Trump,Female,Some college,76
Trump,Female,2-year,84
Biden,Male,Some college,66
Trump,Male,High school graduate,53
Trump,Male,Some college,42
Trump,Male,Post-grad,85
Trump,Female,Post-grad,63
Trump,Female,Some college,47
Biden,Male,Post-grad,68
Biden,Male,High school graduate,81
Trump,Female,Post-grad,81
Biden,Male,Post-grad,79
Biden,Male,Post-grad,79
Biden,Male,Some college,23
Trump,Female,High school graduate,70
Biden,Male,High school graduate,54
Trump,Male,High school graduate,52
Biden,Female,4-year,64
Trump,Male,Some college,46
Biden,Male,High school graduate,72
Biden,Male,Some college,66
Biden,Female,Post-grad,48
Biden,Female,Post-grad,39
Biden,Male,High school graduate,60
Biden,Female,Some college,45
Trump,Male,4-year,43
Biden,Female,2-year,59
Biden,Female,Post-grad,78
Biden,Female,Post-grad,56
Biden,Female,Some college,75
Biden,Female,Some college,89
Trump,Male,High school graduate,76
Trump,Male,High school graduate,71
Biden,Female,Post-grad,68
Trump,Male,Post-grad,70
Trump,Female,High school graduate,79
Trump,Female,Some college,68
Trump,Female,Some college,42
Biden,Female,Post-grad,77
Biden,Female,2-year,60
Biden,Female,2-year,37
Trump,Male,High school graduate,72
Biden,Male,High school graduate,68
Biden,Female,2-year,73
Biden,Female,2-year,80
Biden,Male,2-year,31
Trump,Female,High school graduate,71
Biden,Female,High school graduate,80
Biden,Male,High school graduate,26
Biden,Female,2-year,55
Biden,Female,Some college,47
Trump,Male,High school graduate,75
Biden,Female,Some college,82
Trump,Male,High school graduate,75
Trump,Male,2-year,42
Trump,Male,4-year,72
Trump,Female,Some college,70
Trump,Male,High school graduate,57
Biden,Male,4-year,41
Trump,Male,Some college,40
Trump,Female,Some college,64
Trump,Male,2-year,70
Biden,Male,2-year,46
Biden,Male,Some college,38
Biden,Male,Some college,24
Biden,Male,4-year,44
Biden,Female,High school graduate,63
Trump,Male,Some college,69
Trump,Male,Some college,42
Trump,Male,High school graduate,62
Biden,Female,2-year,24
Trump,Female,High school graduate,73
Biden,Female,Post-grad,86
Biden,Male,2-year,63
Trump,Female,Some college,76
Biden,Male,4-year,59
Trump,Male,4-year,57
Biden,Male,4-year,41
Trump,Male,Some college,44
Trump,Male,2-year,76
Biden,Male,4-year,74
Trump,Male,4-year,58
Trump,Female,High school graduate,71
Trump,Female,High school graduate,73
Trump,Male,High school graduate,72
Biden,Female,High school graduate,87
Biden,Female,High school graduate,51
Biden,Male,High school graduate,73
Biden,Male,High school graduate,83
Trump,Male,High school graduate,60
Biden,Male,4-year,39
Biden,Male,4-year,54
Trump,Female,Some college,52
Trump,Male,4-year,35
Biden,Male,High school graduate,48
Biden,Male,4-year,69
Trump,Female,4-year,27
Biden,Male,Post-grad,41
Biden,Female,2-year,27
Biden,Male,4-year,48
Trump,Male,Some college,75
Biden,Male,4-year,65
Trump,Male,High school graduate,71
Biden,Male,High school graduate,24
Biden,Female,Some college,38
Trump,Male,4-year,68
Trump,Female,Some college,65
Biden,Female,4-year,26
Biden,Male,4-year,72
Trump,Male,4-year,82
Biden,Male,High school graduate,67
Trump,Female,Some college,63
Biden,Male,4-year,36
Trump,Male,2-year,57
Biden,Male,4-year,83
Biden,Male,2-year,47
Biden,Male,Some college,69
Biden,Female,Some college,51
Trump,Male,High school graduate,82
Trump,Male,2-year,73
Trump,Male,4-year,77
Trump,Female,High school graduate,75
Trump,Female,High school graduate,31
Biden,Female,4-year,42
Biden,Male,2-year,72
Biden,Male,2-year,76
Biden,Male,High school graduate,36
Biden,Male,4-year,65
